Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Norway,151.34,55.50,116.85,142.37,150.23,92.62
Switzerland,141.31,58.51,111.51,130.55,123.11,127.45
Japan,134.23,54.22,105.43,117.97,84.28,79.94
Monaco,128.15,173.08,144.32,89.80,138.14,62.30
Australia,122.96,58.85,99.88,113.72,108.95,109.50
Denmark,116.52,41.31,89.45,94.09,130.69,101.98
Belgium,108.68,35.02,82.17,86.01,107.48,90.44
Ireland,107.77,38.12,82.70,97.13,106.06,89.60
Netherlands,104.50,41.15,81.70,69.58,104.36,95.17
Iceland,103.60,32.71,78.09,97.74,92.19,78.56
Sweden,101.86,29.36,75.76,85.33,101.50,100.70
New Zealand,101.65,31.75,76.49,95.60,86.50,85.36
United Kingdom,100.13,37.85,77.72,83.74,94.07,88.35
Finland,99.69,36.47,76.94,82.32,96.90,98.14
Bahrain,99.52,37.54,77.21,150.55,86.92,52.77
France,98.19,35.91,75.77,82.96,94.92,92.68
Canada,98.04,38.35,76.56,93.84,83.16,108.18
Kuwait,96.24,30.78,72.68,73.52,137.45,69.98
Singapore,96.08,90.69,94.14,82.76,65.10,93.29
Israel,95.45,32.05,72.63,77.35,89.45,75.01
Austria,94.84,34.34,73.07,85.06,76.59,98.31
Italy,94.82,34.30,73.04,75.97,95.38,68.59
Saudi Arabia,93.42,18.02,66.29,135.45,39.60,82.11
Greece,93.09,18.90,66.39,69.83,91.17,48.31
Cyprus,89.54,22.36,65.36,74.60,92.18,77.04
Germany,88.55,28.94,67.10,72.15,76.20,114.37
Lebanon,86.11,37.05,68.45,45.30,69.63,24.37
Hong Kong,84.40,96.98,88.92,80.47,69.05,84.27
Qatar,84.28,63.50,76.80,81.63,72.85,153.59
Puerto Rico,84.27,28.14,64.07,81.85,64.57,78.17
Brazil,83.71,25.62,62.80,57.83,56.97,32.80
Malta,83.17,19.49,60.25,70.81,69.07,91.73
United States,83.06,37.42,66.64,77.65,68.74,116.48
Uruguay,82.95,25.34,62.22,65.96,68.83,29.37
United Arab Emirates,81.96,66.92,76.55,66.19,80.50,125.87
Spain,80.24,27.30,61.19,59.01,74.83,88.01
South Africa,75.64,25.36,57.54,59.67,56.27,92.47
Slovenia,74.34,25.73,56.85,64.70,58.04,57.92
Morocco,71.89,26.60,55.59,61.43,41.65,16.68
Azerbaijan,71.24,41.03,60.37,53.20,68.17,26.38
Kazakhstan,70.84,31.80,56.79,49.59,54.65,24.48
Portugal,70.76,23.00,53.57,56.17,52.24,56.05
South Korea,68.62,27.84,53.94,70.68,48.17,108.62
Costa Rica,68.43,22.96,52.06,66.98,52.91,46.29
Latvia,67.76,14.27,48.51,51.28,63.62,35.04
Croatia,67.54,13.94,48.25,56.05,52.42,50.14
Chile,67.39,19.79,50.26,54.24,54.31,47.11
Estonia,66.91,15.10,48.27,51.28,58.73,47.77
Turkey,65.26,15.51,47.35,47.31,48.21,52.57
Russia,64.85,23.81,50.07,49.67,67.55,43.86
Argentina,63.13,19.21,47.32,52.40,54.37,41.71
Taiwan,62.89,18.71,46.99,75.33,35.63,74.85
Armenia,62.75,19.62,47.23,38.38,53.15,20.71
Montenegro,62.24,17.23,46.04,49.11,55.87,38.86
Lithuania,62.11,14.80,45.08,53.02,41.79,33.60
Czech Republic,61.44,21.28,46.98,49.01,40.89,61.95
Jordan,60.44,13.35,43.49,54.93,48.15,37.02
Colombia,59.99,16.59,44.37,50.17,38.82,29.28
Hungary,59.65,12.67,42.74,44.64,43.56,36.81
Slovakia,59.31,23.01,46.25,49.21,40.00,49.19
Georgia,56.07,15.34,41.41,40.93,49.09,29.38
Peru,55.10,15.68,40.91,41.93,36.23,36.05
Mexico,55.06,13.98,40.27,48.45,43.19,58.98
Malaysia,54.90,12.80,39.75,53.65,31.12,74.06
Iran,54.84,25.17,44.16,53.92,42.19,46.20
Tunisia,54.48,9.85,38.42,45.71,40.36,32.39
Panama,54.02,25.34,43.70,48.86,37.67,40.91
Mongolia,53.86,24.01,43.12,57.94,37.81,22.57
Indonesia,51.42,17.21,39.11,57.94,30.08,18.33
Ukraine,51.10,14.95,38.09,38.39,46.13,25.60
Bulgaria,50.92,12.32,37.03,42.02,32.96,33.76
Ecuador,50.85,12.36,37.00,46.59,29.04,25.96
Bosnia And Herzegovina,50.75,8.44,35.53,41.08,39.56,44.37
Serbia,50.55,11.90,36.64,36.47,40.26,31.33
Syria,50.24,12.77,36.75,37.66,33.11,23.64
Thailand,50.16,17.59,38.44,65.47,27.35,32.03
Poland,49.74,16.89,37.91,39.45,38.43,59.23
Egypt,49.65,15.98,37.53,43.42,44.75,28.16
China,48.82,19.67,38.33,53.68,33.62,30.26
Nicaragua,48.31,10.71,34.78,47.52,34.60,42.64
Romania,47.91,12.15,35.04,39.81,35.28,34.29
Moldova,47.81,12.35,35.05,38.59,40.27,27.56
Belarus,45.59,10.62,33.01,33.84,52.82,23.59
Nepal,44.28,4.90,30.11,36.11,30.19,24.53
Philippines,43.62,10.98,31.87,43.13,23.83,28.99
Vietnam,42.90,33.02,39.35,45.31,26.66,28.05
North Macedonia,42.80,9.46,30.80,33.64,31.65,35.20
Algeria,40.64,8.32,29.01,43.59,25.57,27.54
Pakistan,36.17,6.79,25.60,31.52,29.13,28.27
India,33.39,8.36,24.38,33.82,21.10,60.11
